葭 散云肖 无 一毫   四垂 天幕 华露 高   兰闺妆 罢 移江烛   金斗 温温 熨御袍    
雨 罢莓 苔 聊点 砌   风停 杨柳 暂藏楼   明朝 同奉 昭阳 宴   左右 分明 度 彩球    
冉冉 残晖 画阁 西   宫 人 行乐 恋芳时   遥闻 索辇开 黄伞   不尽 花前 半局 棋    
踏青 来往 殊无卷   门草 输赢 且 少休   更上 琼楼 三十级   待 看 春色 满皇州    
柳放 金丝 搭 矮槐   御沟 清影 见 楼台   落花 流出 宫城 去   不 似 武陵 容客 来    
西苑 春深 奉翠华   朱栏 千万 护珍葩   不如 直上 红楼 去   尽见 琼林 十里 花    
中使 传呼 喜复 忙   尽 催 歌舞 到 昭阳   熏炉 烟山 随 指见   无奈 衣轻 不 受寒    
小宴 轻阴 挑菜 时   才 人来 进赏 春诗   翔 鸾 台下 梅先萼   射 鸭池 边柳 未丝    
禁园 春去 偶 同行   杏子 垂垂叶底 青   烧酒 初尝人乐 饮   绿槐 阴下 倒 银瓶    
自古 诗人 咏 具瞻   官仪 孙相独 尊严   三 衙扣 杖 一声 喏   只是 朱衣略 揭帘    
自昔 丰稂为 上瑞   万箱 腾颂奏 君前   史臣 螭 陛闻 宣付   日历 先书大有 年    
学士 承宣到 玉堂   中官 锁院 月 侵廊   白麻诞 告千官 喜   皇子 初 封一 字王    
绣幕 盘龙 四面 开   清 和 时候 已春回   五弦调 畅宸 衷乐   坐觉 熏风 万里 来    
承露 双盘 插 碧空   楼台 更 在 月 明中   何人 传得花 奴曲   羯鼓 声高 满六宫    
月 上 觚 棱进 钥初   持 更 卫士 匝千庐   动筒 忽 自银台入   把 烛 君王 看 捷书    
宜春 苑 傍 夹 城东   从 驾宫 嫔乐亦同   偶会 不须 张锦幕   游人 已 在 百花 中    
天津 一望 碧 泱泱   宫女 移舟 逐晚 凉   只见 平波 红影 动   不知 莲艳间 新妆    
诞圣嘉辰 卜 万年   寿觞 初 进起 炉烟   仙韶缠 奏 齐天曲   三十六 宫入 尽传    
为州容 散诞   真慰 野人 情   撼 膝 禅 初悟   摇头 句 未成   试香秋院 静   门 墨午 窗明   已有 东归计   些 扉 掩 姓名    
朝退 人 归亚禁 扃   金吾收 仗 暂 纵横   诸郎人 省鸣 驺 闹   低帽 扬鞭 一字行    
绮袖 时宜 不 甚 宽   自拈刀尺 勘 双鸾   锦茵 拂 掠 春宵 静   怯见 飞蛾 傍烛 盘    
自习 轻黛怯 春寒   自拈刀尺 勘 双鸾   锦茵 拂 掠 春宵 静   槛 中 新月 对 人 弯    
夹 城西 畔 小 球场   彩仗 弯弯 人 对行   一样 骅骝 三百 疋   金羁 更伴 结游疆    
闹 紫 繁红裹 绿枝   一翻 风雨 尽离 披   瑞香 旬 占 深兰 暖   帘外 春寒 都 不知    
月华 浮动 上阶棱   侍宴 归来 掩绣屏   子夜 酒醒 兰烛 暗   碧纱 窗外 度 流萤    
掖庭 初选 即 知名   新学 吹箫 数曲成   天上 仙姝元 不识   人间 安得 咏 倾城    
南交 司令 已清 和   满殿 熏风 日未 斜   院院 迎凉帘 尽卷   金盘 初 赐 御园 瓜    
上林 随驾 赏 芳辰   曲赐 黄封 腊味 醇   供 帐 不须 劳幕士   垂扬 为 盖 草为 茵    
碧瓦 鸳鸯 势欲飞   禁门 深静 日 迟迟   玉箫吹 遍 新传 谱   坐 看 黄鹂 数 换枝    
牡丹花 品 最为 尊   内苑 栽培 物地繁   宫女 多情 看未足   不离 雕槛 到 黄昏    
牡丹 尊贵 出 群芳   销得 宸 游 奉玉觞   侍宴 佳人 相与 语   姚黄争 及 御袍 黄    
东君 回驭 已春残   红日 长时 人意 闲   玉鼻 琵琶 声正急   更怜 莺语 亦 绵蛮    
圣主 忧勤 鉴万机   日高 前殿 步 舆 归   太官 进膳 传呼 速   御合 翩翩 入禁扉    
雪 罢 严寒 殆 不禁   紫宸 朝 退禁门 深   君恩 委曲 人知否   数盏 香 醪 抵百金    
月 少银台 初 勘契   一声 金锁 禁门开   千官 耸 辔 争朝路   驺 士笼 街 宰相 来    
四部 韶音 进玉 卮   千官 倾望 柘 黄衣   舞头 再拜 金阶远   画鼓 连 催卷 队 归    
晓雾 溟 蒙似 有无   半 残红 煜 动 金铺   黄莺 不语 梨花 上   错认 徐熙 旧 画图    
佩 篽 梅 开 淡淡 春   夜来 微雨 渗轻尘   风和日暖 人 凋落   不怕 倚楼 吹笛 人    
御苑 名花 约 万 栽   芳心 俱愿 日华来   春风 已暖梅 先绽   长恨 江南 冒雪 开    
年华 先到 未央宫   嬉赏 班班 四序 中   潇洒 梅花 元耐雪   轻狂 柳絮 不 嫌 风    
北斗 回 杓 欲 建寅   宫嫔 排备 立春时   镌花 贴子 留题 处   只待 金銮 学士 诗    
二月 犹塞水 有雷   江梅 缠 谢小桃开   宫娥 不 放 珠帘 下   待 得 东风 送燕来    
晨光 初动阁 门开   百辟 匆匆 避路 回   千步 画廊 敲杖子   朱衣 双引 相公 来    
秘阁 新 开别 殿西   玉 蟾蜍 对 玉狻猊   奏书 未 惬 君主 意   内省 夫人 看御批    
八月 金茎 露有结   晨曦 缠上 散余霞   朱书 十字 黄封酒   先赐 王公 执政 家    
玉虚新 殿势 巑 岏   谁 见 壶中日月 闲   消尽晓霞 无 一缕   数声 清磬落 人间    
宿麦 葳蕤 绿未 回   恶风 惟解卷 法埃   平明 瑞雪 深 三尺   万岁 声中 贺表 来    
朱字 衙香 伴玉炉   丁丁 莲漏 月 来 初   文龙 画烛 摇 红影   淮拟 君王 夜 读书    
翩翩 红叶 舞霜秋   紫禁人 闲约 胜游   手把 金英思泛 酒   登高 还 上年 去 楼    
显谟 延阁 照西清   玉轴 牙签 各 有名   圣略 秘机 贻 万世   君王 垂拱 致 升平    
赤 日 炎风 书鼓迟   中官 宣问 到 黄扉   传呼 宰相 槐街静   青盖 摇摇 未午 归    
仙韶 一部 选 轻盈   独 得 君王 记 姓名   中使 忽来 催待宴   匆匆 不许 暂调 笙    
学士 经 筵论 古今   花砖 日上 两三 寻   天颜有 喜人 知否   认得 唐肤 用意 深    
清旦 宫中 候上 番   银潢 轻淡玉 钩 残   山茶 破萼 江梅发   尽倚 朱栏 还 避寒    
万字 阑干 菊 半开   更怜 清 露点 莓 苔   仙韶使 副 呈 新谱   得旨 重阳 待 宴来    
清秋 皓月 正 婵娟   的 历 华星 亦 偏天   欲 上层 楼须 稳步   不同 平地 有 金莲    
后苑 宸 游 炎日 长   宫中 疆半 坐 回廊   鵁 鶄 鸂 鶒 银 塘 静   杨柳 梧桐 水殿 香    
池北池 南柳 对 黄   翠花 游幸 书 初长   宫娥 从 驾 知多少   十里 朱轮 半日 香    
选进 良家 备六宫   仙姿 时得本 从容   由来 真色生 人世   不 在 巫山 十二峰    
治 道 精深 日 讲求   唐虞 功德 本 优游   欲 知兆姓 千 官意   万岁 常瞻 十二 旒    
禁掖 人闲 小小 风   弹棋 围坐 柳阴 中   正怜 美 酒杯 中绿   又 叹 飞花 席上 红    
再 坐千官 花 满头   御 香烟 上紫云 楼   万人同 向 青霄望   鼓 笛声 中度 彩球    
二月 韶妍赏 牡丹   更宜 疏雨湿 阑干   隔帘 催唤 陪春设   不道 新妆 粉未 乾    
端 礼门 开班 已齐   金茎 双立动 晨晖   君王 欲 上 逍遥 辇   玉 指织织 整御衣    
共惜 流芳 甚掷 梭   初移 夏管 已清 和   百花 飞尽 酴 醾 发   留 得 春光 数日 多    
过苑 中官 排辨时   江梅 初绽 两 三枝   春寒 呵 手晨妆 罢   帘 外人 内 从 驾迟    
御 柳丝 长挂 玉栏   不须 惆怅 百花 残   还知 三月 春 虽晚   好 从 金 舆 看 牡丹    
尽道 今来 花言迟   凌晨 宫女 探春 归   寒梅 一朵 金盘 小   已有 清香 拂御衣    
影娥 池面 碧 溶溶   荡桨 佳人 夕照 中   云髻 不饶 荷叶 绿   罗裙 未减 石榴 红
