水石 相逢 骤作声   铿然 律吕 自 天成   山中 纵泛 知音 听   亦 有 流鱼 傍岸行    
欲识 晴岚 熊度 奇   直须 待 到 夕阳 时   回光 倒影 山如染   状出 余霞 散 绮 诗    
危柱 抨 抨曳 素丝   水声 还 解发 天机   风来 未定 风 还 住   恍讶 山中 鼓瑟 希    
千古 尝留 一窖 冰   女萝 竿 竹锁 寒阴   仙人 肯 为 游人 出   试问 中间 苦许 深    
云外峰 前 结旧 庐   胸中 经济 眼中 书   兵间 一范同 鞍马   不记 深山 蕙 帐 虚    
雁浴 鸥 栖 水影 平   菰 莆 菱 芡 透波生   冷风 瑟瑟 山前 起   应是 天仙 下 濯缨    
二水 来 从 翠 岭头   相逢 涧 谷 却 同流   冷光 如镜 清人 骨   探借 山间 六月 秋    
摇摇曳曳 水西流   风定 波凝不起 沤   傍岸 人家 星散 住   尘埃 终莫污 沙鸥    
惠崇往 矣 邈 遗踪   时有 风来撼 古松   想见 草庵 无恙 日   月明 池上 独支 筇    
祖师 正渴 山头 水   龙女 俄分海 眼泉   万事 不离 无始 劫   千年 剩结 未来 缘    
日涵 林壑 紫光 凝   草动花 翻气 似蒸   胜地 划开 鼪 鼬 迳   数间 松屋 住 残僧    
龙蟠 水底 安于 命   龙奋 云间 便 自神   或跃 或 潜须 早决   何须 来往 涧 南滨    
阅尽 人间 万劫尘   平生 结习 一 无存   居山 更 向 山头 坐   兀 兀 真成 不动尊    
碧眼 禅师 锡振空   石头 无路 不 相通   俯看 尘世 三千 界   总在 空花 起灭 中    
山无 重数 总蟠青   直北 孤峰 最 有情   天巧 绾 成 螺髻 样   梳云沐雨 百娇生    
僵立 枯梢 带雪霜   至今 阴极 动 潜阳   不 嫌 孤寂 无人 到   一点 春风 万壑香    
暖风 吹长 紫芽 茎   人向 山头 就 水 烹   陆羽 傥 曾经 此地   谷帘安得 擅佳名    
旧日 新罗 国里 僧   山间 散满 百千 灯   只 将 一嘿 消诸妄   坐透 禅机 最 上乘    
人家 四散 占 荒丘   晓夜 悲鸣 涧 水流   点点 寒鸦 来 不尽   昏云 颓日 古猷州    
石 磵 竹冈 无尽 时   上 难著 脚下 难 窥   平生 所性 佳 山水   烟雨 中行 不废诗    
水源 同出 万 山头   上 半支 分 各自 流   曲折 绕 从 山 下去   短莎 随地 弄 轻柔    
隐居 不惠 不夷间   拜爵 山中 驿使 还   身远 觚 棱 几千里   少 微星 影 堕 空山    
石台 宿草 几年 荒   不比 维摩 狮子 床   大士 向来 曾 晏 坐   是 身如 电暗 回光    
只缘 雨 过水 倾崖   霍地 冰帘 数幅 开   始信 人间 真实 相   尽 从 无始 劫 中来    
金阙 瑶阶路 不迷   白云 翠岭 一般 齐   我 今要 达 参寥境   借作 凌虚 万丈 梯    
万感 生于 一念间   炷 香 惊起 老 龙蟠   今年 人协 嘉鱼 梦   荒 却 池前 古 石坛    
衮衮 长江 浸 落晖   水流 不尽 觉云移   登高 忽动 离骚 恨   无奈 山川 苦要 诗    
下临 无 地上 连天   中有 飞流 涌满泉   今 我 不图 今日 到   诗成 要 檄 两龙眠    
分派 天河 入地 深   断 无射 鲋 汩泥尘   仙乡 初 不谙 机事   多少 山间 抱 瓮 人    
水出 双溪 似镜平   萦回 遇石 自成 文   眼明波 上 谁 相对   只有 飞来 白鹭 鲜    
一生 不买 真 清誉   平日 不歌 招隐诗   底事 琢山成 大字   有名 还 被 众人 知    
清风 披拂 藓苔 痕   洞里 仙乡 万古 春   有路 尽通 尘世 客   来游 何独 是 三人    
听钟 吃饭 东西 寺   就 水 烹茶 上下 池   二百年 来 陈迹 在   摩挲 苔藓 日西时    
水沫 抛来骤 出奇   满空洒 下雪 纷披   云端 惊 见 双峰 面   恰是 仙人 剪水时    
龙抱 明珠 出岸 隈   夜光 草木 亦 昭 回   叮咛 莫向 深潭 睡   恐 有人 从 颔底 来    
耸入 云端 一壁 青   地高 转步 即 天京   有人 著屐 冲云去   但 见 云 从 脚下 生    
月光 泉脉 泻 虚明   澄碧 无瑕 注一泓   大字 石间 标 圣水   只缘 彻底 是 真清    
掠 地霜风 黄叶 飞   山人 晏 坐 已 多 时   但 知六凿 俱 通透   不省 支床 旧有 龟    
野螺 倒 向 空中 立   回旋 萦成 翠甲长   沫 雾 濡 云 真得计   鱼虾 旧侣 莫 相忘    
月 照秋空风 满林   孤猿渴 饮 碧潭 深   我 今 忘我 兼忘物   兀 坐 怡然 不 动心    
花花 结结 净 无尘   却 笑 庄严 未 是 真   五色 明珠 光照 水   湛然 清净 本来 身    
心 不能 安 总是 魔   亭亭 孤塔镇岩 阿   倘无 佛力 三千 行   奈此 丘蛇井鼠何    
妇 馌 夫耕 笑语 喧   地平 一望 暖 生烟   得 毋划 草来 寻 璧   好倩山家护 玉田    
茹芝 仙客 老 仙乡   净尽 人间 粒食肠   玉 甑 岂能 无用 处   几番 与 世熟 黄粱    
凑入 方池 一脉泉   泥沙 不杂性 中天   时时 自照 清癯 影   白露 风标 是 水仙    
诘 朝云出 雨 如 倾   向晚 云归日 逗明   不比 世间 翻覆 手   望云人 要验 阴晴    
要学 骑 蟾 主簿 仙   休官 直上 九华 巅   我来 细读 碑间 字   风叶 时时 一 飒然    
两崖 对 耸 三千丈   上 倚 清虚 小有 天   玉户 金铺 云杳霭   罗衣 摇曳 几 神仙    
曾 看 双峰 老子 诗   秀攒绿绕 妙 天机   有人 爱此 无声 画   更著 幽亭 相 发挥    
卷曲 山阿路 窈深   春风 随地 散 幽芬   洞中 仙客 谁 为伴   去 去 来 来自 在 云    
绿色 轩窗 四面 开   几曾 闲 却 对 山杯   十分 尽 是 天然 景   未信 丹青 画 得来    
山形 南去 疾如驰   高处 展开 三丈 旗   山下 行人 争指似   龙蛇 影动 夕阳 时    
翘翘 车乘力 招贤   建业 山河 五十年   欲 问 兴亡 无 问处   一声 山鸟 忽来 前    
层崖 缺处 月 婵娟   金背 虾蟆 就 石眠   笑 问 月 边 人 在 否   中宵 有 梦 到 钧 天    
岪 郁盘 纡 直 拄 空   众峰 环绕 独居 中   山头 要 看 僧 禅定   南北 东西 路 各通    
山深 地僻 人 稀到   安 得 沧浪 孺子 歌   缨 上 本 无尘 可 濯   莫将 止水 强 杨波    
朝暮 相依 五老仙   鸟啼花落 几何 年   尘劳 不到 山 深处   窗外 日高人 尚眠    
烟收雾 敛 翠 成园   来助 幽亭 眼界 奇   衲子 若于 山索句   棱 棱 瘦 骨 不禁 诗    
缚 屋 山中 数十年   藄 茅 诛 棘 旋开 田   何须 折柳 溪边 去   枯木 寒林 总是 禅    
喷激 喧 貀 无 已 时   惊雷 出地 怒涛 随   水从 千仞 峰头 过   遇险 应成 一段 奇    
有动 皆 从静 处生   岚光 正 与 晶争 熏   山灵要 眩 游人 眼   石缝 中间 旋 出云    
石骨 分开 四角 棱   日华磨 透镜 光明   水流 圆折 仍方折   忽作 铿然 戛玉声    
石壁 参天 驻冷云   一声 幽鸟 忽 惊人   庵 前 庵 后山 如旧   朽柏年 来 不再 春    
直 拄 虚空 倚 不 斜   上通 绛 阙玉 皇家   若移 此柱 天 西北   炼石 无功 说 女娲    
鬼烂神焦 不救燃   岂知 此柱固 依然   九关 尝 藉 扶持 力   肯信 人间 有 杞天    
头陀 岭下 招提境   画阁 阑干 几度 凭   游客 骤来 还 倏去   看山输 与 在家 僧    
空洞 玲珑 万石 攒   中间 逗入 翠光寒   人来 坐 对 山无语   表里 虚明 不碍观    
雨袖 飘飘 恍欲仙   半醒 半 醉酒 明船   太虚 一室 都 无碍   皎 月 凉风 石上民    
岚翠 相迎 一笑 中   窅 然 想见 旧 仙踪   纷纷 云气 蓬莱 近   目断 前山 几十 重    
佛法 中存 不 二门   空然 洗 尽意 根尘   山头 日月 如旋磨   照见 光 明示 现身    
孔明 西去 终扶汉   散 骑南来 莫拯 唐   同时 卧龙 殊用 舍   古今 易地 两 南阳    
石犀 沉后 波涛 息   石燕 飞时 风雨 来   堪笑 石牛 徒解 卧   山田 无数 任蒿 莱    
乱云堆 里 酣 酣梦   人 在 清泉 白石 间   胶扰 劳生 鼎中 沸   有官 不换 此 身闲    
五百年 间岸 谷移   邯郸 枕上 梦回 时   兔葵燕麦 玄都观   好继 刘郎 旧日 诗    
五股 钗 松黛色 鲜   山家 插 鬓 不成 妍   道人 见 了 都 无用   付与 云鬟雾鬓 仙    
日夜 云间 喷薄 鸣   玉龙 千尺 绕山行   漏天 泻下 银河 水   来作 僧 窗夜 雨声    
前冈后 陇 尽 纡 余   岚 影烟光 半 有无   山脚 断边 开 古刹   五台 分布 似 连珠    
众壑 中 分岭势 回   数家 茅店 傍山开   长风 吹入 松梢 去   一片 笙簧 动地 来    
潭面 摇光媚 日华   水文 倒 影射 檐 牙   倚 阑 如 在 云霄 上   俯看 萦风 万 雪花    
陂塘 一曲 水泓澄   山簇 瑶台 十二 层   剩脉 余膏流 不尽   芝田蕙 圃 岁 常登    
几许 山花 照 夕阳   不 栽 不植自 芬芳   林梢 一点 风微起   吹作 人间 百合 香    
拂面 溪风 洒洒 清   轻衫 短帽 御 风行   逍遥 自是 天 游乐   不结 沙鸥 水石盟    
多少 人间 狭路 偏   山川 还是 旧 山川   淡然 忘笑 兼 忘 指   嘿嘿 真成 第一 禅    
水流 无限 白云 深   胜迹 灵光 古到 今   第一 溪 山神 卜宅   蕙肴 椒 酒 万家 心    
朱甍碧瓦 粉墙 围   花舫 回光 洞户辉   自是 故家开 第宅   乔林 景物 两 芳菲    
瘦田 糁 糁 豆花 明   冷径 毵 毵 柏叶清   何处 路通 云际 寺   山人 指 我秀 华亭    
日边 有 诏 起征 君   遥望 长安 隔万云   一 炷 清香 天在 上   征君 只欲断 知闻    
溪声 西去 疾于 雷   山麓 云根翠户 开   枉 却 幽寻 三十 载   壶 天 月 窟 欠 曾 来    
新祠 金碧 照林丘   十五年 前认 昔游   月桂 山茶 分 左右   满庭花 事客 春秋    
削玉 横陈 开翠屏   东西 有路 总堪登   向来 同识春山面   犹 有 苍苍 九节 藤    
湿翠 抛来 觉染衣   倚 阑 兀 兀 坐 移时   偶因 过雨添 流水   增重 棼 丝曳练 诗    
岚气 阴阴 浅色 山   更分 黛墨染 松关   喷云泄雾 空蒙外   湿翠冷 沾襟 袖间    
锦鸡 花鸭烂 成文   连雁双 凫 雪羽纷   同免 王孙 金 弹子   飞来飞去 一群群    
龟肠 刳 尽不缘 饥   鹤骨 生来 岂 解肥   炼得丹 成生 羽翼   山中 无复 赵知 微    
簇簇 青莲 满意 开   老僧 夸说 旧 栽培   尘埃 不涅花 心性   净客 原 从 净士来    
探得 松苓 足 养身   仙家 留稻 仓 囷   岂知 山下 人 辛苦   五月 青苗 已 粜 新    
春气 熏空 草木 浮   绿云 冉冉 起 山头   岚光 浥 翠 浓于 染   润入 衣襟 冷欲秋    
点溜常 穿 石眼 寒   藓 纹 如 绣 不曾 乾   山头 一滴 曹 溪水   山下 人人 仰面 看    
八十四 级 山头 石   五百余年 地藏 坟   风撼 塔铃天 半语   众人 都 向 梦 中闻    
风送 香来 草木 灵   寿松 何事 不 重青   日当 亭午 禅扉 静   药杵声 中鹤 梦醒    
腻 雨 增多 树色 深   惠 风吹 转药苗 新   一湾 水绕 旃檀 国   流向 山前 普济 人    
蔓草 丛生 伴棘薪   古藤直 上 绕 松身   寺 前 寺 后 清幽 处   山鸟飞 来 不 避人    
涧 平如划 水流 迟   湛碧 溶溶 可染 衣   白 石栏 边人 不到   日明 风细 一鸥 飞    
未悟 雄冠 死结 缨   昂然 对峙 只徒争   山头 化作 千年 石   盛气 飞 憍 不再 萌    
一山 夐 出众 山中   日照 烟浮 紫翠 浓   山 不争 高人共仰   几多 丘 垤 俨相 从    
伯仲 怡然 意 甚真   齐肩 握手 笑 相亲   云阴 解驳 排空 立   秀出 人间 棣 萼 春    
无住 师参 第一 禅   指开 古洞秀 岩天   东扶西倒 都 休问   且结 人间 见 在 缘    
又 拚 十日 作山行   去路 一程 高 一程   三十年 游游 未了   青山 应笑 白 髭生    
我心 匪石 不可 转   有石 当风 如 转轮   何物 山灵能 薄 相   工夫 胜 却 斲 轮 人    
望望 梧桐 一划 齐   山深 曾 是 凤来 栖   只 今吾道 非耶是   更 有 何人 歌凤 兮    
拂壁 留诗 墨尚鲜   如今 屈指 五年 前   直须 强健 常来 此   到 老宁消 几 五年    
庐山 董凤 曾 栽杏   凤岭 知微 亦 种桃   怕 有人 来 问前 古   涧 中 不肯 放渔 舠    
白龟 摆脱 泥涂辱   步入 金莲 佛 道场   玉水 迸流 山石 裂   有灵初 不 为 刳 肠    
无复 晨钟暮鼓 声   慧云 犹 护法 灯明   佛乘大有 扶持 力   旧塔 虽 欹 不解 倾    
农家 辛苦 靳逢 年   谁 似僧家 饱 饭眠   留得巾 盂 为 老伴   丰年 常 在 粥 盂 边    
山头 兀 坐 已 忘 年   咫尺 孤云 两角 天   但 有 圆明 真实 在   是 身何 往 不安 禅    
庙貌 森严 屋枕崖   地寒 铺满 纸钱 灰   空明 一碧秋 如洗   若有 神仙 引鹤来    
炊沙 自昔终 难 饱   坎土 于今 乃 可餐   翻笑 青泥变 青石   嵇康 无分 啜 仙丹    
飞瀑 舂 撞破 的 余   速如蓬 矢 脱桑弧   谁知 水底 天 吴伯   曾识 人间 金仆姑    
目观 溶溶 眩 水精   耳根 虩 虩 受 雷声   一杯 更 吸潭间 味   并 要 胸中 领此 清    
烟际 晴岚 似 有无   举头 相望 是 云衢   若 为 透入 云间 路   直渡 银河 采白 榆    
阴 磴 层 崖洞 室 宽   奇花异草 几多 般   彩云 不 动 金光 起   便作 金莲 法界 看    
野寺 荒山 涧水 滨   古藤 翠 簊 自 摇 春   僧闲 晏 坐 无人 到   内保 禅心 一味 真    
自要 贪间 非 避秦   洞门 隔断 世间 尘   山中 不 置 四时 历   开 到 碧桃 知是 春    
秋风 吹 上碧霄 亭   足蹑灵 河袖 拂星   云影 四垂天 接地   恍疑 有 路 到 仙 扃    
蕴玉 含晖 一水间   碧光 炯炯 照人寒   却疑 洗出 荆山 璞   若有 瑕疵 试指 看    
呷 呷 波间 锦羽明   地 无尘 处 可 幽亭   唤回 天上 张公子   来 与 山家 注水 经    
瘦藤引 我 上 崚嶒   苍壁 如梯 石作层   袖得 碧云 无用 处   却 将 分赠 住 山僧    
烟际 亭亭 出古崖   几层 翠盖 倚天 开   铿然 风向 林梢 过   知有 神仙 玉佩 来    
三解坳 泓 一角 亏   其间 浊水 照摩尼   风幡 不动炉 烟直   正是 僧 禅定 起时    
近水 人家 自是 奇   水成湾 处 各 开扉   波光 一片 青铜镜   无数 文禽照 影飞    
膜 外 浮云 不较 多   只 将 无事 养天 和   生来 懒觅 仙人 药   九节菖蒲 奈 我何    
忠诚 为国心 无累   简易 临民讼 自稀   与 世相 安真 省事   若为 作意苦 沉机    
彩凤 飞来 以瑞 呈   飘飘 五色 锦衣 明   悬知 不入 鸱 鸮 伴   要 向 朝阳 效一鸣    
圣世 承平 百岁 余   老翁 因话 建炎 初   绿林 躏 藉 人波 迸   二壁 中间 各 占居    
山形 四抱 水来 前   中有 金莲 色界天   清磬 一声 僧定 起   松间 灵鹤舞 蹁跹    
枯松 瘦柏 几千年   老屋 相依 住翠烟   雷破前 山风 振海   先生 兀 兀 正 逃禅    
飞瀑 奔崖色 皎然   飘空 上下 势 相连   看来 不是 天 河水   尽是 兜 罗 片片 绵    
富贵 风吹 一哄埃   春阳 留 得 旧时 台   老松 偃 蹇 山前 立   曾 是 昔人 歌舞 来    
偶尔 观棋 忽烂柯   岂知 胜负 是 如何   归来 笑 问 人间 事   恰是 人间 胜负 多    
常日 双扉 多 不开   客须 投分始 相陪   庭前 蓦地 失松影   试问 碧云 何处 来    
佝偻 形容 古貌 浑   旁连众 岭 似 儿孙   荒山 太古 万万 古   眼见 游人 来 几番    
门前 黄叶 断 人行   寂 历山 房昼 亦 扃   疏竹 矮 窗僧 兀 坐   炷 香熏 笔自 抄经    
神 剜 鬼 划剧 幽深   门外 藤萝 浅结 阴   洞里 金仙 十年 坐   湛然 认得 本来 心    
金能 生水 水涵 金   本本 源源 造化 心   几许 碎金 随水出   披沙 终日 若为 寻    
炯炯 豁开 明镜 台   是 中 无处 著 尘埃   平生 心地 常 如此   何暇 频频 拂拭 来    
缭白 萦青照 眼波   芙蓉 出没 在 天河   不 因 云影 闲来 去   安得春山 熊度 多    
来自 青松 翠竹 关   秋风 吹帽 醉 醒间   纷纷 遮眼 尘如海   拈起 毫端 又 说 山    
打围 行蚁 时时 战   触纸 痴蝇 日日 钻   有客 云山 深处 卧   静中同 向 此 心观    
修途 百折 到 山顶   绀宇 擀 数间 开 道场   倦 卧 尽 人身 自 在   翻愁 作梦 趁 黄粱    
小大 扶 携 作伴 行   欢然 恋恋 意相 倾   信知 万古 山头 石   还有 人间 母子情    
坏道 哀 湍 鬼火 青   山间 留得 观冲名   仙宫 分置 玄真 像   想见 开元 旧 太平    
粲 粲 无尘 一石平   向来 此 地步 虚声   薜萝 今绕 空 山里   千古 清风 窦子明    
亭 中妙墨 粲 于珍   添 得 一番 山色 新   幽坐 看来 如看 画   我 今欲画 恨 无人    
茸茸 莎草 褭 风长   二百年 前 一谏堂   旧地 几番 新 地主   谏堂 名字 愈 辉光    
兰芷 春风 满地 香   谪仙 曾 卧 白云 乡   山间 精爽 今 犹 在   落月 时时 见 屋梁    
世路 嵚 崎 两鬓 丝   山中 留客 且 伸眉   竹林 胜践 虽 相似   犹恨 前贤 所欠 诗    
冷屋 栖云 是 几年   嗔 人 履迹 破 苔 钱   不辞 更入 山 深处   手种 西方 社里 莲    
风动 云开净 客颜   三千丈 石锦烂 斑   淤泥 不是 花开处   擢出 天河 绿水 间    
闲中 惟有 高低 枕   老去 宁 无 内外 丹   千载 稚川 今往 矣   谁 言 古井 不生 澜    
笑 闯 黄冠高切 云   前携后 掖 互相 亲   我来 历历 披云 看   试问 肩随 是 几人    
巧石 排成 五总龟   人间 无事 不前 知   如今 已自灵 于物   还 记泥 中曳 尾时    
乱草 枯茅 町 疃 场   寒风 卷 地 日 荒荒   有来 提起 山庵 话   又 是 先生 朽骨香    
苦雾 腥云染 寇锋   万家 乡井 雉 罹 羫   山前 堆满 纵横 骨   换得 将军 不 战功    
四海 秋风 吹战尘   有来 濯足 到溪滨   天荒地老 人间 世   醉 把 流觞 一笑 春    
青青 琉璃 手可 拈   寒花 多 在 雨 中添   高风 不卷 银河 浪   仿佛 康王 谷里 帘    
小溪 亦 有 怒涛 翻   可 但 沧溟 始足观   世事 会心 无广 狭   请君来 此试 观澜    
涧 分 南北 两源通   绕转 春山翠 几重   偶尔 混然成 一派   滔滔 东去 共 朝宗    
生铁 团团 铸翠峦   一瓯 倒 覆 白云 端   瓯 中 姓氏 无人 识   应 被 山灵静 揭看    
山接 灵河 两派 长   松间 石上 泻 天浆   几思 吸取 清泠 味   洗 我 一生 烟火 肠    
柏根 翻动 一炉 香   白足 高僧 礼 梵王   还 了 十方 行脚 债   却 来 山顶 放 圆光    
风信 吹凉入 鬓 清   悠然 自送 一鸥 轻   鸥 飞 不尽 天回影   练色 波光 曳曳明    
水 合众 流同 赴 海   山分 一岭 独朝天   居高 素以 谦为 德   日月 倾心 斗极边    
凤袅 藤萝 水舞 苔   洞门 常闭 不常开   草根 满地 皆 灵药   鼓祖 偓 佺 曾 到来    
日薄烟 低 莽苍 间   古仙 相望 白云 端   山中 倘有 安期 枣   觅取 归来 当 晚餐    
一性 圆时 万境通   三生 绮念 堕 真空   如今 举眼 无非 佛   身在 光明 法界 中    
五百年 来 贝叶 光   劫灰难 泯壁 中藏   山僧 要 广 人间 福   长日 工夫 一炷香    
别去 招提 恰十霜   几番 梦到 五峰 堂   有怀 此地 同僧 夏   对 佛闲 烧结 愿香    
瘦茎 尖叶 带余馨   细嚼 能令 困自醒   一段 山间 奇绝 事   会须 添入 品茶 经    
白云 起处 著 招提   一岭 嵯峨 众岭 低   多少 山间 好 风景   人来 先 看 蒋公题    
春山细 摘 紫英芽   碧玉 瓯 中散 乳花   六尺 禅床 支瘦骨   心安 不恼 睡 中 蛇    
仙袂 飘飘 拂翠巅   知微来 此宴 群仙   人间 风雨 山间 月   始信 仙家 别有 天    
缓火 烘来 活水 煎   山头 卓锡取 清泉   品茶 懒检茶 经看   舌本 无非 有味禅    
丘中 流水 度 鸣琴   静 与 僧 房发 妙音   高下 抑扬 浑 不断   时时 写出 昔贤心    
飞云 蔼蔼 出 从 龙   遍为 山村 办岁 丰   雨到 足 时云 自敛   有功 及物 不言功    
灯影 昏昏 枕半 欹   此 清原 自少 人知   水声 到 夜 浑如 雨   睡 思过 于 听雨时    
人生 随遇 是 行藏   最有 山灵 引兴长   安得 居 乡伯 休父   再来 闳 肃 旧书 堂    
平田 千亩 万山 中   水脉 高低 处处 通   黄石 一溪 三十里   暖风 吹动 稻 花丛    
草色 浓于 野烧 烟   春风 吹面午 阴天   长江 摇荡 游人 眼   兴在 悠悠 一雁边    
紫芒 金粒 动 秋风   三月 腰 鎌 卷 地空   农事 倦时 天与力   机 舂 相继 便 论功    
匝径 茸茸 菜甲青   透池艳艳 藕花 明   四方 衲子 寻幽践   多少 空山 振锡声    
疏岩 剔 薮 空 王宅   金碧 光中 开宝 坊   日日 散花 方丈 里   山门 流水 例沾香    
下视 眈眈 猛若神   世方 重利 反 轻身   纵教 是 虎 真 非石   藜 藿 来 寻 亦 有人    
客有 忘形 物 我间   寸丝不挂 漫垂竿   游鱼 得 计 洋洋 乐   人作 四方 丙穴 看
